url_crawl;skelbimo_pavadinimas;kaina_eur;Plotas:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Įsiminė;Peržiūrėjo;error_get_coordinates;Skelbimą peržiūrėjo (iš viso/šiandien);error_get_energy_consumption_class;error_get_air_polution_data;Namo numeris:;coordinate_x;coordinate_y;energijos_suvartojimo_klase;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);Aktyvus iki;Pastato energijos suvartojimo klasė:;error_get_perziuru_sk;scrape_date
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-kokybiskai-irengtas-butas-su-grazia-panorama-1-3234794/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;445000.0;75,57 m²;3;5;6;2016;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/1-3234794;2022-08-01;2022-09-02;14;1568/2 (iš viso/šiandien);;1568/2;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675289;25.277388;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-moderniai-ir-prabangiai-irengtas-butas-1-3211426/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;372000.0;64 m²;3;4;5;2020;Blokinis;Centrinis kolektorinis;Įrengtas;Internetas, Virtuvė sujungta su kambariu;Balkonas;Su baldais, Skalbimo mašina, Vonia;Signalizacija, Kodinė laiptinės spyna;www.aruodas.lt/1-3211426;2022-09-06;2022-09-06;53;799/5 (iš viso/šiandien);;799/5;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675003;25.274734;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-parduodamas-jaukiai-irengtas-3-kambariu-butas-1-3245273/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;219000.0;68 m²;3;1;3;1940 statyba, 2019 renovacija;Mūrinis;Dujinis;Įrengtas;Uždaras kiemas, Atskiras įėjimas, Aukštos lubos, Virtuvė sujungta su kambariu;Vieta automobiliui;;Šarvuotos durys;www.aruodas.lt/1-3245273;2022-09-01;2022-09-01;26;1052/12 (iš viso/šiandien);;1052/12;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675013;25.274734;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-parduodamas-puikus-4-kambariu-2-ju-miegamuju-1-3249737/;Vilnius, Senamiestis, Šaltinių g., 4 kambarių butas;850000.0;154 m²;4;5;5;2009;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/1-3249737;2022-09-12;2022-09-12;2;208/13 (iš viso/šiandien);;208/13;;'NoneType' object has no attribute 'find_all';;54.675692;25.279267;3 Klasė Gera (1-3);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-parduodamas-stilingas-ir-ypac-kokybiskai-1-3231040/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;445000.0;75,57 m²;3;5;6;2016;Mūrinis;Centrinis kolektorinis;Įrengtas;Uždaras kiemas, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Terasa;Su baldais, Skalbimo mašina, Šaldytuvas, Viryklė, Indaplovė, Dušo kabina;Šarvuotos durys, Budintis sargas, Vaizdo kameros, Kodinė laiptinės spyna;www.aruodas.lt/1-3231040;2022-08-17;2022-09-12;19;607/3 (iš viso/šiandien);;607/3;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.675289;25.277388;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-prancuziskai-jaukus-namai-ant-senamiescio-1-3233514/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;489000.0;87 m²;3;5;7;2009;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/1-3233514;2022-08-17;2022-08-17;17;508/3 (iš viso/šiandien);;508/3;;'NoneType' object has no attribute 'find_all';;54.675576;25.278315;3 Klasė Gera (1-3);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-pro-siu-apartamentu-langus-atsiveriantis-1-3223558/;Vilnius, Senamiestis, Šaltinių g., 4 kambarių butas;850000.0;125 m²;4;5;5;2009;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/1-3223558;2022-06-29;2022-09-09;5;1386/3 (iš viso/šiandien);;1386/3;;'NoneType' object has no attribute 'find_all';;54.675692;25.279267;3 Klasė Gera (1-3);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-puikus-pasiulymas-norintiems-isigyti-buta-1-3246695/;Vilnius, Senamiestis, Šaltinių g., 2 kambarių butas;235000.0;49 m²;2;5;6;2008;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Vonia;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/1-3246695;2022-09-05;2022-09-13;14;379/5 (iš viso/šiandien);;379/5;;'NoneType' object has no attribute 'find_all';22;54.675576;25.278315;3 Klasė Gera (1-3);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-sie-ispudingi-apartamentai-drasiai-gali-1-3246705/;Vilnius, Senamiestis, Šaltinių g., 4 kambarių butas;1600000.0;200 m²;4;4;6;2001;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Drabužinė;Virtuvės komplektas, Dušo kabina, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3246705;2022-09-05;2022-09-05;5;548/15 (iš viso/šiandien);;548/15;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.67528;25.277385;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-turbut-graziausias-ir-vertingiausias-1-3245989/;Vilnius, Senamiestis, Šaltinių g., 3 kambarių butas;850000.0;125 m²;3;5;5;2009;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Uždaras kiemas, Virtuvė sujungta su kambariu;Sandėliukas, Terasa, Pirtis;Šildomos grindys, Virtuvės komplektas, Židinys, Rekuperacinė sistema;Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna, Budintis sargas;www.aruodas.lt/1-3245989;2022-09-02;2022-09-02;1;335/2 (iš viso/šiandien);;335/2;;'NoneType' object has no attribute 'find_all';26;54.675692;25.279267;3 Klasė Gera (1-3);;;;;;;14_09_2022
